MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
EDAAP1,ARRAY,GA1CIM01,BA1CIM01,,
A1ANN03_OV1,ARRAY,,BA1INS04,A1ANN03,Index/OVEN
A1ANN03_OV1_BF1,ARRAY,,BA1INS04,A1ANN03_OV1,Cool Buffer 1#
A1ANN03_OV1_RT1,ARRAY,,BA1INS04,A1ANN03_OV1,Index Robot
EDAAP2,ARRAY,GA1CIM01,BA1CIM01,,
ETLAP1,ARRAY,GA1CIM01,BA1CIM01,,
A1ANN03_OV1_BF2,ARRAY,,BA1INS04,A1ANN03_OV1,Cool Buffer 2#
ETLAP2,ARRAY,GA1CIM01,BA1CIM01,,
EDBBO1,ARRAY,GA1CIM01,BA1CIM01,,
EDBBO2,ARRAY,GA1CIM01,BA1CIM01,,
DFSAP1,ARRAY,GA1CIM01,BA1CIM01,,
DFSAP2,ARRAY,GA1CIM01,BA1CIM01,,
EAPAP1,ARRAY,GA1CIM01,BA1CIM01,,
EAPAP2,ARRAY,GA1CIM01,BA1CIM01,,
A1ANN04_OV1,ARRAY,,BA1INS04,A1ANN04,退火炉设备
A1ANN04_OV1_BF1,ARRAY,,BA1INS04,A1ANN04_OV1,缓冲区
A1ANN04_OV1_RT1,ARRAY,,BA1INS04,A1ANN04_OV1,机械手
A1ETC03_ET1_DR3,ARRAY,,BA1ETS02,A1ETC03_ET1,UTRN 2#
A1ANN04_OV1_BF2,ARRAY,,BA1INS04,A1ANN04_OV1,篮子缓冲区
A1CDM03,ARRAY,GA1INS01,BA1INS04,,线宽+宏观测量 3#
A1CDM03_LD1,ARRAY,,BA1INS04,A1CDM03,Index
A1CDM03_CD1,ARRAY,,BA1INS04,A1CDM03,CDM 检测设备
A1REP01,ARRAY,GA1INS01,BA1INS04,,激光修复设备 1#
A1REP02,ARRAY,GA1INS01,BA1INS04,,激光修复设备 2#
A1REP01_LD1,ARRAY,,BA1INS04,A1REP01, Index
A1REP01_LD1_RT1,ARRAY,,BA1INS04,A1REP01_LD1,机械手
A1REP01_RP1,ARRAY,,BA1INS04,A1REP01,返修设备
A1REP01_RP1_ST1,ARRAY,,BA1INS04,A1REP01_RP1,返修平台 1#
A1REP01_RP1_ST2,ARRAY,,BA1INS04,A1REP01_RP1,返修平台 2#
A1REP02_LD1,ARRAY,,BA1INS04,A1REP02, Index
A1REP02_RP1,ARRAY,,BA1INS04,A1REP02,Repair 1
A1REP02_LD1_RT1,ARRAY,,BA1INS04,A1REP02_LD1,机械手
A1AOI02,ARRAY,GA1INS01,BA1INS03,,光学检测设备2#
A1AOI02_LD1,ARRAY,,BA1INS03,A1AOI02,Index
A1AOI02_AI1,ARRAY,,BA1INS03,A1AOI02,AOI检测设备
A1ETC03_ET1_DR4,ARRAY,,BA1ETS02,A1ETC03_ET1,UTRN 3#
A1ETC03_ET1_DR5,ARRAY,,BA1ETS02,A1ETC03_ET1,Rinse 2#
A1ETC03_ET1_CY3,ARRAY,,BA1ETS02,A1ETC03_ET1,A/K
A1ETC03_ET1_CY4,ARRAY,,BA1ETS02,A1ETC03_ET1,Exit CV 1#
A1ETC03_ET1_CY5,ARRAY,,BA1ETS02,A1ETC03_ET1,Exit CV 2#
A1ETC03_ET1_CY6,ARRAY,,BA1ETS02,A1ETC03_ET1,Exit CV 3#
A1ETC03_ET1_CY7,ARRAY,,BA1ETS02,A1ETC03_ET1,Exit CV 4#
