MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
A1PCL05_CL1_CY4,ARRAY,,BA1CVD02,A1PCL05_CL1,WET CV(2/3)
A1PCL05_CL1_CY5,ARRAY,,BA1CVD02,A1PCL05_CL1,WET CV(4)
A1PCL05_CL1_CY6,ARRAY,,BA1CVD02,A1PCL05_CL1,MS
A1ANN01,ARRAY,GA1INS01,BA1INS04,,退火设备 1#
A1ANN03,ARRAY,GA1INS01,BA1INS04,,退火设备 3#
A1ETC03_ET1_PT3,ARRAY,,BA1ETS02,A1ETC03_ET1,Port 3#
A1ANN02,ARRAY,GA1INS01,BA1INS04,,退火设备 2#
A1ANN04,ARRAY,GA1INS01,BA1INS04,,退火设备 4#
C1ANN01,CELL,GC1INS01,BC1ODF01,,Annealer #1
F1MCR04,CF,GF1INS01,BF1INS01,,宏观+微观检测设备 4#
C1ANN02,CELL,GC1INS01,BC1ODF01,,Annealer #2
F1MCR04_LD1,CF,,BF1INS01,F1MCR04,Index
C1ODF03_LD2_PT1,CELL,,BC1ODF01,C1ODF03_LD2,Port 1
C1ODF03_LD2_PT2,CELL,,BC1ODF01,C1ODF03_LD2,Port 2
C1ANN01_LD1,CELL,,BC1ODF01,C1ANN01,Index
C1ODF03_LD2_PT3,CELL,,BC1ODF01,C1ODF03_LD2,Port 3
F1MCR04_LD1_RT1,CF,,BF1INS01,F1MCR04_LD1,Robot
C1ANN01_LD1_RT1,CELL,,BC1ODF01,C1ANN01_LD1,Robot
C1ANN01_OV1,CELL,,BC1ODF01,C1ANN01,Annealer Machine
C1ANN01_OV1_OV1,CELL,,BC1ODF01,C1ANN01_OV1,Oven 1#
C1ANN01_OV1_OV2,CELL,,BC1ODF01,C1ANN01_OV1,Oven 2#
F1REP06,CF,GF1INS01,BF1INS01,,激光修复设备Repair 6#
C1ANN01_OV1_BF1,CELL,,BC1ODF01,C1ANN01_OV1,Through Buffer
C1ANN01_OV1_RT1,CELL,,BC1ODF01,C1ANN01_OV1,Robot
C1ANN02_LD1,CELL,,BC1ODF01,C1ANN02,Index
C1ANN02_LD1_RT1,CELL,,BC1ODF01,C1ANN02_LD1,Robot
C1ODF03_LD2_RT1,CELL,,BC1ODF01,C1ODF03_LD2,Robot
A1ETC03_ET1_PT1,ARRAY,,BA1ETS02,A1ETC03_ET1,Port 1#
C1ANN02_OV1,CELL,,BC1ODF01,C1ANN02,Annealer Machine
C1ODF03_ED1,CELL,,BC1ODF01,C1ODF03,Seal_DSP
C1ANN02_OV1_OV1,CELL,,BC1ODF01,C1ANN02_OV1,Oven 1#
C1ANN02_OV1_OV2,CELL,,BC1ODF01,C1ANN02_OV1,Oven 2#
A1ETC03_ET1_PT2,ARRAY,,BA1ETS02,A1ETC03_ET1,Port 2#
C1ANN02_OV1_CO1,CELL,,BC1ODF01,C1ANN02_OV1,Cooling rack
C1GAP01,CELL,GC1INS01,BC1ODF01,,Cell GAP 1#
A1PCL05_CL1_CH1,ARRAY,,BA1CVD02,A1PCL05_CL1,DRYING Chamber
A1ETC03_ET1_PT4,ARRAY,,BA1ETS02,A1ETC03_ET1,Port 4#
C1GAP01_GP1,CELL,,BC1ODF01,C1GAP01,Gap Machine
C1GAP01_GP1_ST1,CELL,,BC1ODF01,C1GAP01_GP1,Stage shuttle
A1ETC03_ET1_RT1,ARRAY,,BA1ETS02,A1ETC03_ET1,Index Robot
C1ODF03_HD1,CELL,,BC1ODF01,C1ODF03,Short_DSP
A1ETC03_ET1_CY1,ARRAY,,BA1ETS02,A1ETC03_ET1,ENTR. CV
F1REP06_LD1,CF,,BF1INS01,F1REP06,修复设备Repair 6#Index
F1REP06_RP1,CF,,BF1INS01,F1REP06,修复设备Repair 6#REP
C1SOR01,CELL,GC1INS01,BC1ODF01,,Sorter 1#
A1ETC03_ET1_CY2,ARRAY,,BA1ETS02,A1ETC03_ET1,A/C CV
A1ETC03_ET1_ET2,ARRAY,,BA1ETS02,A1ETC03_ET1,Etch 2#
A1ETC03_ET1_ET3,ARRAY,,BA1ETS02,A1ETC03_ET1,Etch 3#
A1CVD04,ARRAY,GA1CVD01,BA1CVD02,,CVD 成膜设备4#
A1CVD05_CV1_PT3,ARRAY,,BA1CVD02,A1CVD05_CV1,Port 3#
A1CVD05,ARRAY,GA1CVD01,BA1CVD02,,CVD 成膜设备5#
A1SHP01_LD1,ARRAY,,BA1CVD02,A1SHP01, Index
A1CVD04_CV1,ARRAY,,BA1CVD02,A1CVD04,Indexer/CVD Chamber
A1CVD05_CV1_RT2,ARRAY,,BA1CVD02,A1CVD05_CV1,Chamber Robot
A1CVD04_CV1_RT1,ARRAY,,BA1CVD02,A1CVD04_CV1,Indexer Robot
A1CVD04_CV1_LL1,ARRAY,,BA1CVD02,A1CVD04_CV1,Load Lock
A1CVD04_CV1_CHA,ARRAY,,BA1CVD02,A1CVD04_CV1,Chamber A
A1CVD05_CV1_LL2,ARRAY,,BA1CVD02,A1CVD05_CV1,UnLoad Lock
A1STP02_SR1_SR2,ARRAY,,BA1ETS03,A1STP02_SR1,H/S1
A1STP02_SR1_SR3,ARRAY,,BA1ETS03,A1STP02_SR1,H/S2
A1STP02_SR1_SR4,ARRAY,,BA1ETS03,A1STP02_SR1,S/S2
A1STP02_SR1_DR2,ARRAY,,BA1ETS03,A1STP02_SR1,UTRN 2#(Rinse)
A1STP02_SR1_DR3,ARRAY,,BA1ETS03,A1STP02_SR1,UTRN 3#(Rinse)
A1CVD05_CV1,ARRAY,,BA1CVD02,A1CVD05,CVD 设备
A1CVD05_CV1_RT1,ARRAY,,BA1CVD02,A1CVD05_CV1,Indexer Robot
A1CVD05_CV1_LL1,ARRAY,,BA1CVD02,A1CVD05_CV1,Load Lock
A1CVD05_CV1_CHA,ARRAY,,BA1CVD02,A1CVD05_CV1,Chamber A
A1CVD05_CV1_CHB,ARRAY,,BA1CVD02,A1CVD05_CV1,Chamber B
A1CVD05_CV1_CHC,ARRAY,,BA1CVD02,A1CVD05_CV1,Chamber C
A1CVD05_CV1_CHD,ARRAY,,BA1CVD02,A1CVD05_CV1,Chamber D
A1CVD04_CV1_CHB,ARRAY,,BA1CVD02,A1CVD04_CV1,Chamber B
A1PCL05,ARRAY,GA1PCL01,BA1CVD02,,前清洗设备 5#
A1SHP01,ARRAY,GA1INS01,BA1CVD02,,SHP 段差检测设备1#
A1SHP01_TE1,ARRAY,,BA1CVD02,A1SHP01,SHP设备
A1PCL05_CL1,ARRAY,,BA1CVD02,A1PCL05,Pre Cleaner
A1DRE01,ARRAY,GA1DRE01,BA1DRE01,,干刻1#
A1DRE01_LD1,ARRAY,,BA1DRE01,A1DRE01,Index
A1DRE02,ARRAY,GA1DRE01,BA1DRE01,,干刻2#
A1DRE03,ARRAY,GA1DRE01,BA1DRE01,,干刻3#
A1DRE01_DE1,ARRAY,,BA1DRE01,A1DRE01,DE设备
A1DRE01_LD1_RT1,ARRAY,,BA1DRE01,A1DRE01_LD1,机械手
A1STP02_SR1_DR4,ARRAY,,BA1ETS03,A1STP02_SR1,Rinse 2#
A1DRE01_DE1_RT1,ARRAY,,BA1DRE01,A1DRE01_DE1,机械手
A1DRE01_DE1_CH1,ARRAY,,BA1DRE01,A1DRE01_DE1,腔体1
A1STP02_SR1_CY3,ARRAY,,BA1ETS03,A1STP02_SR1,A/K
A1STP02_SR1_CY4,ARRAY,,BA1ETS03,A1STP02_SR1,Exit 1#
A1STP02_SR1_CY5,ARRAY,,BA1ETS03,A1STP02_SR1,Exit 2#
A1STP02_SR1_CY6,ARRAY,,BA1ETS03,A1STP02_SR1,Exit CV
A1CVD04_CV1_CHE,ARRAY,,BA1CVD02,A1CVD04_CV1,Chamber E
F1REP03_LD1_RT1,CF,,BF1INS02,F1REP03_LD1,修复设备Repair 3#IndexRobot
F1REP03_RP1_ST1,CF,,BF1INS02,F1REP03_RP1,修复设备Repair 3#REP Stage
F1PTC01,CF,GF1INS01,BF1INS03,,灰尘检查仪
F1PTC01_LD1,CF,,BF1INS03,F1PTC01,灰尘检查仪 Index
F1PTC01_PC1,CF,,BF1INS03,F1PTC01,灰尘检查仪 Partical Counter
F1PTC01_LD1_ST1,CF,,BF1INS03,F1PTC01_LD1,灰尘检查仪 IndexStages
F1PTC01_LD1_RT1,CF,,BF1INS03,F1PTC01_LD1,灰尘检查仪 IndexRobot
F1REP04,CF,GF1INS01,BF1INS03,,激光修复设备Repair 4#
F1REP04_LD1,CF,,BF1INS03,F1REP04,修复设备Repair 4#Index
F1REP04_RP1,CF,,BF1INS03,F1REP04,修复设备Repair 4#REP
F1REP04_LD1_RT1,CF,,BF1INS03,F1REP04_LD1,修复设备Repair 4#IndexRobot
F1PSH01,CF,GF1INS01,BF1INS03,,Photo Space厚度测量仪 1#
F1PSH01_LD1,CF,,BF1INS03,F1PSH01,Photo Space厚度测量仪 1#Index
F1PSH01_PH1,CF,,BF1INS03,F1PSH01,Main EQ
F1PSH01_LD1_RT1,CF,,BF1INS03,F1PSH01_LD1,IndexRobot
A1SPT01,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 1#
A1SPT02_SP1_RT2,ARRAY,,BA1SPT01,A1SPT02_SP1,Sputter Robot
A1SPT01_SP1,ARRAY,,BA1SPT01,A1SPT01,Sputter成膜设备 1#Sputter
A1PHT04_LD1_PT6,ARRAY,,BA1PHT01,A1PHT04_LD1,Port 6#
A1SPT01_SP1_RT1,ARRAY,,BA1SPT01,A1SPT01_SP1,Robot
A1SPT01_SP1_LL1,ARRAY,,BA1SPT01,A1SPT01_SP1,Load Lock 1#
A1SPT01_SP1_LL2,ARRAY,,BA1SPT01,A1SPT01_SP1,Load Lock 2#
A1PCL05_CL1_CY7,ARRAY,,BA1CVD02,A1PCL05_CL1,EXIT CV
A1PCL06_CL1_CY7,ARRAY,,BA1INS03,A1PCL06_CL1,EXIT CV
A1SPT02,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 2#
A1PHT05_CL1_OV3,ARRAY,,BA1PHT03,A1PHT05_CL1,TS COL(2-4)
A1SPT02_SP1,ARRAY,,BA1SPT01,A1SPT02,Index/Sputter
A1PHT05_CL1_OV4,ARRAY,,BA1PHT03,A1PHT05_CL1,AHP(2-5)
A1SPT02_SP1_RT1,ARRAY,,BA1SPT01,A1SPT02_SP1,Index Robot
A1SPT02_SP1_LL1,ARRAY,,BA1SPT01,A1SPT02_SP1,Load Lock 1#
A1SPT02_SP1_LL2,ARRAY,,BA1SPT01,A1SPT02_SP1,Load Lock 2#
A1PHT05_CL1_OV5,ARRAY,,BA1PHT03,A1PHT05_CL1,AHP(2-6)
A1PHT05_CL1_OV6,ARRAY,,BA1PHT03,A1PHT05_CL1,TS COL(2-7)
A1SPT05,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 5#
A1SPT06,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 6#
A1SPT07,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 7#
A1SPT08,ARRAY,GA1SPT01,BA1SPT01,,溅射成膜设备 8#
A1PHT05_CL1_BF1,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-8)
A1SPT05_SP1,ARRAY,,BA1SPT01,A1SPT05,Sputter成膜设备 5#Sputter
A1ANN01_OV1_PT1,ARRAY,,BA1INS04,A1ANN01_OV1,Port 1#
A1ANN01_OV1_PT2,ARRAY,,BA1INS04,A1ANN01_OV1,Port 2#
A1ANN01_OV1_PT3,ARRAY,,BA1INS04,A1ANN01_OV1,Port 3#
F1RGB01_BL1_CL1,CF,,BF1RGB01,F1RGB01_BL1,BLUE_Cleaner
F1RGB01_BL1_CT1,CF,,BF1RGB01,F1RGB01_BL1,BLUE_Coater
A1ANN01_OV1_PT4,ARRAY,,BA1INS04,A1ANN01_OV1,Port 4#
A1ANN01_OV1_ST1,ARRAY,,BA1INS04,A1ANN01_OV1,In Stage
A1ANN01_OV1_OV1,ARRAY,,BA1INS04,A1ANN01_OV1,Oven A
A1ANN01_OV1_OV2,ARRAY,,BA1INS04,A1ANN01_OV1,Oven B
A1ANN01_OV1_RT2,ARRAY,,BA1INS04,A1ANN01_OV1,Oven Robot(in)
A1ANN01_OV1_RT3,ARRAY,,BA1INS04,A1ANN01_OV1,Oven Robot(Out)
C1ODF03_LD1_PT1,CELL,,BC1ODF01,C1ODF03_LD1,Port 1
F1RGB01_BL1_HP1,CF,,BF1RGB01,F1RGB01_BL1,BLUE_HP/CP #1
F1RGB01_BL1_HP2,CF,,BF1RGB01,F1RGB01_BL1,BLUE_HP/CP #2
C1ODF03_LD1_PT2,CELL,,BC1ODF01,C1ODF03_LD1,Port 2
C1ODF03_LD1_PT3,CELL,,BC1ODF01,C1ODF03_LD1,Port 3
F1RGB01_BL1_UV1,CF,,BF1RGB01,F1RGB01_BL1,BLUE_UV Asher
A1SPT05_SP1_RT1,ARRAY,,BA1SPT01,A1SPT05_SP1,IndexRobot
A1PHT05_CL1_BF2,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-9)
A1SPT05_SP1_LL1,ARRAY,,BA1SPT01,A1SPT05_SP1,Load Lock 1#
A1SPT05_SP1_LL2,ARRAY,,BA1SPT01,A1SPT05_SP1,Load Lock 2#
A1PHT05_CL1_BF3,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-10)
A1PHT05_CL1_BF4,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-11)
A1PHT05_CL1_BF5,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-12)
A1SPT06_SP1,ARRAY,,BA1SPT01,A1SPT06,Index/Sputter
A1SPT06_SP1_RT1,ARRAY,,BA1SPT01,A1SPT06_SP1,Index Robot
A1SPT06_SP1_LL1,ARRAY,,BA1SPT01,A1SPT06_SP1,Load Lock 1#
A1SPT06_SP1_LL2,ARRAY,,BA1SPT01,A1SPT06_SP1,Load Lock 2#
A1PHT05_CL1_BF6,ARRAY,,BA1PHT03,A1PHT05_CL1,P STAGE(2-13)
A1PHT05_CL1_SH1,ARRAY,,BA1PHT03,A1PHT05_CL1,Shuttle(2-14)
A1SPT07_SP1,ARRAY,,BA1SPT01,A1SPT07,Sputter成膜设备 7#Sputter
A1PHT05_DV1_BF1,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-8)
A1PHT05_DV1_BF2,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-9)
A1PHT05_DV1_BF3,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-10)
A1PHT05_DV1_BF4,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-11)
A1PHT05_DV1_BF5,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-12)
C1ODF03_UD1_PT1,CELL,,BC1ODF01,C1ODF03_UD1,Port 1
C1ODF03_UD1_PT2,CELL,,BC1ODF01,C1ODF03_UD1,Port 2
A1SPT07_SP1_RT1,ARRAY,,BA1SPT01,A1SPT07_SP1,Index Robot
A1SPT07_SP1_LL1,ARRAY,,BA1SPT01,A1SPT07_SP1,Load Lock 1#
A1SPT07_SP1_LL2,ARRAY,,BA1SPT01,A1SPT07_SP1, Load Lock 2#
A1PCL01,ARRAY,GA1PCL01,BA1SPT01,,前清洗设备 1#
A1PHT05_EX1_EX1,ARRAY,,BA1PHT03,A1PHT05_EX1,Exposore
A1PCL01_CL1,ARRAY,,BA1SPT01,A1PCL01,Pre Cleaner
A1PHT05_DV1_BF6,ARRAY,,BA1PHT03,A1PHT05_DV1,PSTAGE(5-13)
A1PHT05_DV1_IN1,ARRAY,,BA1PHT03,A1PHT05_DV1,Inspection（5-14)
A1PCL02,ARRAY,GA1PCL01,BA1SPT02,,前清洗设备 2#
A1PCL02_LD1,ARRAY,,BA1SPT02,A1PCL02,前清洗设备 2#Index
A1PCL02_CL1,ARRAY,,BA1SPT02,A1PCL02,前清洗设备 2#Cleaner
A1PCL02_LD1_RT1,ARRAY,,BA1SPT02,A1PCL02_LD1,前清洗设备 2#IndexRobot
A1PCL02_CL1_DR1,ARRAY,,BA1SPT02,A1PCL02_CL1,前清洗设备 2#Cleaner DI Rinse 1#
F1REP01_RP1_ST2,CF,,BF1INS02,F1REP01_RP1,修复设备Repair 1# REP Machine Stage 2#
F1REP01_LD1_RT1,CF,,BF1INS02,F1REP01_LD1,修复设备Repair 1# IndexRobot
F1SPM01,CF,GF1INS01,BF1INS02,,SPM检测设备
F1SPM01_LD1,CF,,BF1INS02,F1SPM01,SPM检测设备Index
F1SPM01_TH1,CF,,BF1INS02,F1SPM01,SPM检测设备Thickness
F1SPM01_LD1_RT1,CF,,BF1INS02,F1SPM01_LD1,SPM检测设备IndexRobot
F1SPM01_TH1_TH1,CF,,BF1INS02,F1SPM01_TH1,SPM检测设备Thickness
F1SPM01_TH1_SC1,CF,,BF1INS02,F1SPM01_TH1,SPM检测设备Spectrometer
F1MCR01,CF,GF1INS01,BF1INS02,,宏观+微观检测设备 1#
F1MCR01_LD1,CF,,BF1INS02,F1MCR01,MCR检测设备 1#Index
A1PCL04,ARRAY,GA1PCL01,BA1SPT02,,前清洗设备 4#
A1PHT09_CT1_OV1,ARRAY,,BA1PHT03,A1PHT09_CT1,AHP(3-2)
A1DRE06_DE1_RT1,ARRAY,,BA1DRE03,A1DRE06_DE1,Chamber Robot
A1PHT09_CT1_OV2,ARRAY,,BA1PHT03,A1PHT09_CT1,AHP(3-3)
A1PHT09_CT1_OV3,ARRAY,,BA1PHT03,A1PHT09_CT1,TS COL(3-4)
A1DRE06_DE1_CH1,ARRAY,,BA1DRE03,A1DRE06_DE1,Chamber
A1PHT05_TL1_TL1,ARRAY,,BA1PHT03,A1PHT05_TL1,Exposore
A1DRE07_LD1_RT1,ARRAY,,BA1DRE03,A1DRE07_LD1,机械手
A1PHT09_CT1_OV4,ARRAY,,BA1PHT03,A1PHT09_CT1,AHP(3-5)
A1PHT09_CT1_OV5,ARRAY,,BA1PHT03,A1PHT09_CT1,AHP(3-6)
A1PHT09_CT1_OV6,ARRAY,,BA1PHT03,A1PHT09_CT1,TS COL(3-7)
A1PHT09_CT1_BF1,ARRAY,,BA1PHT03,A1PHT09_CT1,PSTAGE(3-8)
A1PHT09_CT1_BF2,ARRAY,,BA1PHT03,A1PHT09_CT1,PSTAGE(3-9)
A1DRE07_DE1_RT1,ARRAY,,BA1DRE03,A1DRE07_DE1,机械手
A1PHT09_CT1_BF3,ARRAY,,BA1PHT03,A1PHT09_CT1,PSTAGE(3-10)
A1PHT09_CT1_BF4,ARRAY,,BA1PHT03,A1PHT09_CT1,PSTAGE(3-11)
A1PHT09_BF1_UA1,ARRAY,,BA1PHT03,A1PHT09_BF1,Glass in(Turn)
A1PHT09_BF1_EE1,ARRAY,,BA1PHT03,A1PHT09_BF1,EE
A1PHT09_BF1_EX1,ARRAY,,BA1PHT03,A1PHT09_BF1,Exposure
A1PHT09_DV1_LA1,ARRAY,,BA1PHT03,A1PHT09_DV1,Glass Out
A1PHT09_DV1_OV3,ARRAY,,BA1PHT03,A1PHT09_DV1,TS COL(5-4)
A1DRE07_DE1_CH1,ARRAY,,BA1DRE03,A1DRE07_DE1,腔体1
A1PHT09_DV1_UA1,ARRAY,,BA1PHT03,A1PHT09_DV1,Glass in
A1PHT09_DV1_OV1,ARRAY,,BA1PHT03,A1PHT09_DV1,AHP(5-2)
A1AOI01,ARRAY,GA1INS01,BA1DRE03,,AOI 光学检测1#
A1AOI01_LD1,ARRAY,,BA1DRE03,A1AOI01,Index
A1PHT09_DV1_OV2,ARRAY,,BA1PHT03,A1PHT09_DV1,AHP(5-3)
A1AOI01_AI1,ARRAY,,BA1DRE03,A1AOI01,AOI检测设备
A1PHT09_DV1_OV4,ARRAY,,BA1PHT03,A1PHT09_DV1,AHP(5-5)
A1AOI01_LD1_RT1,ARRAY,,BA1DRE03,A1AOI01_LD1,机械手
A1PHT09_DV1_OV5,ARRAY,,BA1PHT03,A1PHT09_DV1,AHP(5-6)
A1AOI01_AI1_AI1,ARRAY,,BA1DRE03,A1AOI01_AI1,AOI检测
A1PHT09_DV1_OV6,ARRAY,,BA1PHT03,A1PHT09_DV1,COOL(5-7)
A1PHT09_DV1_BF1,ARRAY,,BA1PHT03,A1PHT09_DV1,PSTAGE(5-8)
A1PHT09_DV1_BF2,ARRAY,,BA1PHT03,A1PHT09_DV1,PSTAGE(5-9)
A1PHT09_EX1_EX1,ARRAY,,BA1PHT03,A1PHT09_EX1,Exposure
A1PHT01_CL1_BF3,ARRAY,,BA1PHT01,A1PHT01_CL1,P STAGE(2-10)
A1CDM02,ARRAY,GA1INS01,BA1DRE03,,线宽+宏观测量2#
A1CDM02_LD1,ARRAY,,BA1DRE03,A1CDM02,Index
A1CDM02_CD1,ARRAY,,BA1DRE03,A1CDM02,CDM设备
A1CDM02_LD1_RT1,ARRAY,,BA1DRE03,A1CDM02_LD1,机械手
A1PHT08_LD1,ARRAY,,BA1PHT03,A1PHT08,Index
A1CDM02_CD1_CD1,ARRAY,,BA1DRE03,A1CDM02_CD1,线宽测量
A1PHT08_AI1,ARRAY,,BA1PHT03,A1PHT08,AOI
A1PHT01_CL1_BF4,ARRAY,,BA1PHT01,A1PHT01_CL1,P STAGE(2-11)
A1DRE04,ARRAY,GA1DRE01,BA1DRE02,,干刻4#
A1DRE05,ARRAY,GA1DRE01,BA1DRE02,,干刻5#
A1PHT10,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 10#
A1PHT10_LD1,ARRAY,,BA1PHT03,A1PHT10,Index
A1PHT10_LD1_RT1,ARRAY,,BA1PHT03,A1PHT10_LD1,Robot 1#
A1PHT10_AI1,ARRAY,,BA1PHT03,A1PHT10,AOI
A1PHT10_AI1_AI1,ARRAY,,BA1PHT03,A1PHT10_AI1,AOI
A1PHT01_CL1_BF5,ARRAY,,BA1PHT01,A1PHT01_CL1,P STAGE(2-12)
A1PHT10_CL1,ARRAY,,BA1PHT03,A1PHT10,Cleaner
A1PHT10_DV1,ARRAY,,BA1PHT03,A1PHT10,Develop
A1DRE04_LD1,ARRAY,,BA1DRE02,A1DRE04,Index
A1PHT01_CL1_BF6,ARRAY,,BA1PHT01,A1PHT01_CL1,P STAGE(2-13)
A1PHT10_CT1,ARRAY,,BA1PHT03,A1PHT10,Coater
A1PHT01_CL1_SH1,ARRAY,,BA1PHT01,A1PHT01_CL1,Shuttle(2-14)
A1DRE04_DE1,ARRAY,,BA1DRE02,A1DRE04,Chamber 1#
A1PHT10_EX1,ARRAY,,BA1PHT03,A1PHT10,Exposure
A1DRE04_LD1_RT1,ARRAY,,BA1DRE02,A1DRE04_LD1,Index Robot
A1PHT01_CT1_LA1,ARRAY,,BA1PHT01,A1PHT01_CT1,Glass out
A1PHT01_CT1_UA1,ARRAY,,BA1PHT01,A1PHT01_CT1,Glass in(SSDPER)
A1ETC01_ET1_DR2,ARRAY,,BA1ETS03,A1ETC01_ET1,Rinse 2#
A1PHT01_CT1_OV1,ARRAY,,BA1PHT01,A1PHT01_CT1,AHP(3-2)
A1PHT01_CT1_OV2,ARRAY,,BA1PHT01,A1PHT01_CT1,AHP(3-3)
A1PHT01_CT1_OV3,ARRAY,,BA1PHT01,A1PHT01_CT1,TS COL(3-4)
A1PHT01_CT1_OV4,ARRAY,,BA1PHT01,A1PHT01_CT1,AHP(3-5)
A1DRE04_DE1_RT1,ARRAY,,BA1DRE02,A1DRE04_DE1,Chamber  Robot
A1PHT01_CT1_OV5,ARRAY,,BA1PHT01,A1PHT01_CT1,AHP(3-6)
A1PHT01_CT1_OV6,ARRAY,,BA1PHT01,A1PHT01_CT1,TS COL(3-7)
A1DRE04_DE1_CH1,ARRAY,,BA1DRE02,A1DRE04_DE1,Chamber
A1PHT01_CT1_BF1,ARRAY,,BA1PHT01,A1PHT01_CT1,PSTAGE(3-8)
A1PHT01_CT1_BF2,ARRAY,,BA1PHT01,A1PHT01_CT1,PSTAGE(3-9)
A1PHT01_CT1_BF3,ARRAY,,BA1PHT01,A1PHT01_CT1,PSTAGE(3-10)
A1DRE05_LD1,ARRAY,,BA1DRE02,A1DRE05,Index
A1PHT01_CT1_BF4,ARRAY,,BA1PHT01,A1PHT01_CT1,PSTAGE(3-11)
A1DRE05_LD1_RT1,ARRAY,,BA1DRE02,A1DRE05_LD1,机械手
A1ETC01_ET1_ET3,ARRAY,,BA1ETS03,A1ETC01_ET1,ETCH 3#
A1PHT01_BF1,ARRAY,,BA1PHT01,A1PHT01,Buffer
A1DRE05_DE1,ARRAY,,BA1DRE02,A1DRE05,DE设备
A1ETC01_ET1_DR3,ARRAY,,BA1ETS03,A1ETC01_ET1,Rinse 3#
A1PHT01_BF1_LA1,ARRAY,,BA1PHT01,A1PHT01_BF1,Glass out(Turn)
A1PHT03_EX1,ARRAY,,BA1PHT01,A1PHT03,Exposure
A1DRE05_DE1_RT1,ARRAY,,BA1DRE02,A1DRE05_DE1,机械手
A1PHT02_EX1,ARRAY,,BA1PHT01,A1PHT02,Exposure
A1ETC01_ET1_CY3,ARRAY,,BA1ETS03,A1ETC01_ET1,A/C CV
A1ETC01_ET1_CY4,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 1#
A1DRE05_DE1_CH1,ARRAY,,BA1DRE02,A1DRE05_DE1,腔体1
A1ETC01_ET1_CY5,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 2#
A1ETC01_ET1_CY6,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 3#
A1ETC01_ET1_CY7,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 4#
A1PHT03_EX1_EX1,ARRAY,,BA1PHT01,A1PHT03_EX1,Exposure
A1PCL07_CL1,ARRAY,,BA1ETS02,A1PCL07,Pre Cleaner
A1PCL07_LD1,ARRAY,,BA1ETS02,A1PCL07,Index
A1PCL07_CL1_CV1,ARRAY,,BA1ETS02,A1PCL07_CL1,IN Converyor
A1PCL07_CL1_AP1,ARRAY,,BA1ETS02,A1PCL07_CL1,AP Palsma
A1PCL07_CL1_DR1,ARRAY,,BA1ETS02,A1PCL07_CL1,DI Rinse
A1PCL07_CL1_AK1,ARRAY,,BA1ETS02,A1PCL07_CL1,Air Knife
A1PCL07_CL1_CV2,ARRAY,,BA1ETS02,A1PCL07_CL1,Out Converyor
A1DRE09_DE2,ARRAY,,BA1DRE02,A1DRE09,DE设备
A1DRE09_DE2_CH1,ARRAY,,BA1DRE02,A1DRE09_DE2,腔体1
A1DRE09_DE1_LL1,ARRAY,,BA1DRE02,A1DRE09_DE1,Load Lock
A1ANN03_OV1_OV2,ARRAY,,BA1INS04,A1ANN03_OV1,OVEN B
A1DRE09_DE2_LL1,ARRAY,,BA1DRE02,A1DRE09_DE2,Load Lock
A1PHT10_EX1_EX1,ARRAY,,BA1PHT03,A1PHT10_EX1,Exposure
F1CSL01_BK1_BK1,CF,,BF1CSL01,F1CSL01_BK1,Glass in /Glass out Report
A1PHT09,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 9#
A1PHT08,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 8#
A1PHT07,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 7#
A1PHT06,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 6#
A1PHT05,ARRAY,GA1PHT01,BA1PHT03,,成像显影设备 5#
A1PHT09_LD1,ARRAY,,BA1PHT03,A1PHT09,Index
F1REP04_RP1_ST1,CF,,BF1INS03,F1REP04_RP1,修复设备Repair 4#REP Stage
F1AOI01_AI1,CF,,BF1INS02,F1AOI01,AOI检测设备
F1AOI01_LD1,CF,,BF1INS02,F1AOI01,AOI检测设备Index
